"timestamp","pageUrl","domain","resourceType","isThirdParty","hasAdKeywords","isKnownAdDomain","sizeKB","durationMs","status"
"2025-04-21T17:17:10.569Z","https://edition.cnn.com/","edition.cnn.com","other",false,false,false,5.09,120,200
"2025-04-21T17:17:10.577Z","https://edition.cnn.com/","accounts.google.com","stylesheet",true,false,false,0,135,200
"2025-04-21T17:17:10.581Z","https://edition.cnn.com/","accounts.google.com","xhr",true,false,false,0,138,400
"2025-04-21T17:17:10.711Z","https://edition.cnn.com/","licensing.bitmovin.com","xhr",true,false,false,0.04,175,200
"2025-04-21T17:17:10.870Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,2.16,315,200
"2025-04-21T17:17:10.917Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,16.04,48,200
"2025-04-21T17:17:10.947Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,15.44,77,200
"2025-04-21T17:17:11.003Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,15.94,52,200
"2025-04-21T17:17:11.030Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,0.67,27,200
"2025-04-21T17:17:11.184Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,639.78,154,200
"2025-04-21T17:17:11.207Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,0.6,23,200
"2025-04-21T17:17:11.281Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,46.17,75,200
"2025-04-21T17:17:11.343Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,15.84,49,200
"2025-04-21T17:17:11.370Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,0.67,28,200
"2025-04-21T17:17:11.450Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,382.34,80,200
"2025-04-21T17:17:11.499Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,46.33,44,200
"2025-04-21T17:17:11.587Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,380.97,83,200
"2025-04-21T17:17:11.596Z","https://edition.cnn.com/","licensing.bitmovin.com","xhr",true,false,false,0,61,204
"2025-04-21T17:17:11.665Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,46.17,70,200
"2025-04-21T17:17:11.771Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,433.73,99,200
"2025-04-21T17:17:11.849Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,46.29,71,200
"2025-04-21T17:17:11.957Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,383.17,105,200
"2025-04-21T17:17:12.005Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,46.17,44,200
"2025-04-21T17:17:12.094Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,379,82,200
"2025-04-21T17:17:12.116Z","https://edition.cnn.com/","sb.scorecardresearch.com","image",false,false,true,0.04,41,200
"2025-04-21T17:17:12.144Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,46.32,47,200
"2025-04-21T17:17:12.231Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,382.38,82,200
"2025-04-21T17:17:12.281Z","https://edition.cnn.com/","live-media-cf.warnermediacdn.com","xhr",true,false,false,46.17,47,200
"2025-04-21T17:17:13.393Z","https://edition.cnn.com/","sb.scorecardresearch.com","image",false,false,true,0.04,38,200
"2025-04-21T17:17:13.730Z","https://edition.cnn.com/","collector.cdp.cnn.com","xhr",true,false,false,0,68,200
"2025-04-21T17:17:14.644Z","https://edition.cnn.com/","collector.cdp.cnn.com","xhr",true,false,false,0,82,200
