"pageUrl","domain","resourceType","isThirdParty","hasAdKeywords","isKnownAdDomain","sizeKB","durationMs","status"
,"static01.nyt.com","fetch",true,false,,17.85,290,200
,"static01.nyt.com","image",true,false,,48.13,242,200
,"static01.nyt.com","image",true,false,,19.22,242,200
,"static01.nyt.com","image",true,false,,18.8,242,200
,"static01.nyt.com","image",true,false,,49.3,244,200
,"static01.nyt.com","image",true,false,,47.5,242,200
,"static01.nyt.com","image",true,false,,54.27,184,200
,"purr.nytimes.com","fetch",true,false,,0,377,200
,"samizdat-graphql.nytimes.com","fetch",true,false,,72.27,652,200
,"static01.nyt.com","script",true,false,,141.28,743,200
,"static01.nytimes.com","fetch",true,false,,1.27,760,200
,"www.nytimes.com","fetch",false,false,,0,1224,200
,"a.nytimes.com","fetch",false,false,,0,1518,200
,"a.et.nytimes.com","ping",true,false,,0,812,200
,"vp.nyt.com","media",true,false,,11.59,84,206
,"","font",true,false,,0,122,200
,"samizdat-graphql.nytimes.com","fetch",true,false,,0,711,200
,"static01.nyt.com","image",true,false,,86.53,164,200
,"static01.nyt.com","image",true,false,,8.56,164,200
,"static01.nyt.com","image",true,false,,8.36,169,200
,"static01.nyt.com","image",true,false,,2.04,171,200
,"static01.nyt.com","image",true,false,,10.13,173,200
,"samizdat-graphql.nytimes.com","fetch",true,false,,21.34,664,200
,"a1.nyt.com","script",true,false,,0.06,849,200
,"static.chartbeat.com","script",true,false,,0,855,200
,"cdn.brandmetrics.com","script",true,false,,0,858,200
,"vp.nyt.com","texttrack",true,false,,0.01,284,404
,"static01.nyt.com","script",true,false,,9.83,931,200
,"static01.nyt.com","fetch",true,false,,17.85,199,200
,"a.et.nytimes.com","ping",true,false,,0,297,200
,"dd.nytimes.com","xhr",true,false,,0.23,107,200
,"static01.nyt.com","script",true,false,,5.69,72,200
,"a.et.nytimes.com","ping",true,false,,0,190,200
,"accounts.google.com","script",true,false,,0,667,200
,"pnytimes.chartbeat.net","image",true,false,,0.04,671,200
,"pnytimes.chartbeat.net","image",false,false,,0.04,673,200
,"accounts.google.com","stylesheet",true,false,,0,80,200
,"accounts.google.com","xhr",true,false,,0,98,400
,"www.nytimes.com","other",false,false,,1.16,60,200
,"a.et.nytimes.com","fetch",true,false,,0,171,200
,"pnytimes.chartbeat.net","image",true,false,,0.04,155,200
,"platform.iteratehq.com","script",true,false,,0,253,200
,"platform.iteratehq.com","script",true,false,,0,78,200
,"pnytimes.chartbeat.net","image",false,false,,0.04,154,200
,"iteratehq.com","fetch",true,false,,0.24,462,200
,"static01.nyt.com","image",true,false,,5.4,54,200
,"iteratehq.com","fetch",true,false,,0,164,200
,"static01.nyt.com","image",true,false,,9.2,55,200
,"static01.nyt.com","image",true,false,,60.05,60,200
,"static01.nyt.com","image",true,false,,23.28,50,200
,"static01.nyt.com","image",true,false,,9.47,45,200
,"static01.nyt.com","image",true,false,,14.01,50,200
,"pnytimes.chartbeat.net","image",true,false,,0.04,160,200
,"a.et.nytimes.com","ping",true,false,,0,199,200
,"static01.nyt.com","image",true,false,,65.15,66,200
,"static01.nyt.com","image",true,false,,22.41,55,200
,"pnytimes.chartbeat.net","image",true,false,,0.04,149,200
,"static01.nyt.com","image",true,false,,12.87,56,200
,"pnytimes.chartbeat.net","image",false,false,,0.04,149,200
,"static01.nyt.com","image",true,false,,12.63,63,200
,"static01.nyt.com","image",true,false,,12.14,61,200
,"a.et.nytimes.com","ping",true,false,,0,315,200
,"static01.nyt.com","image",true,false,,20.02,56,200
,"static01.nyt.com","image",true,false,,61.21,67,200
,"static01.nyt.com","image",true,false,,32.21,67,200
,"static01.nyt.com","image",true,false,,54.18,67,200
,"static01.nyt.com","image",true,false,,75.76,121,200
,"static01.nyt.com","image",true,false,,17.53,123,200
,"static01.nyt.com","image",true,false,,5.94,67,200
,"static01.nyt.com","image",true,false,,31.67,69,200
,"static01.nyt.com","image",true,false,,8.95,59,200
,"static01.nyt.com","image",true,false,,15.54,53,200
,"static01.nyt.com","image",true,false,,6.14,64,200
,"static01.nyt.com","image",true,false,,12.47,63,200
,"static01.nyt.com","image",true,false,,19.1,65,200
,"static01.nyt.com","image",true,false,,12.73,64,200
,"a.et.nytimes.com","ping",true,false,,0,212,200
,"www.nytimes.com","fetch",false,false,,0.02,374,202
,"static01.nyt.com","image",true,false,,3.28,68,200
,"static01.nyt.com","image",true,false,,2.71,70,200
,"static01.nyt.com","image",true,false,,11.34,70,200
,"static01.nyt.com","image",true,false,,10.41,87,200
,"static01.nyt.com","image",true,false,,5.59,99,200
,"static01.nyt.com","image",true,false,,1.73,149,200
,"www.nytimes.com","script",false,false,,23.71,134,200
,"www.nytimes.com","script",false,false,,7.13,148,200
,"www.nytimes.com","script",false,false,,14.87,165,200
,"samizdat-graphql.nytimes.com","fetch",true,false,,172.77,94,200
,"g1.nyt.com","font",true,false,,19.66,73,200
,"static01.nyt.com","image",true,false,,23.73,97,200
,"static01.nyt.com","image",true,false,,19.08,97,200
,"static01.nyt.com","image",true,false,,16.25,157,200
,"static01.nyt.com","image",true,false,,22.43,164,200
,"static01.nyt.com","image",true,false,,5.09,176,200
,"static01.nyt.com","image",true,false,,18.21,173,200
,"static01.nyt.com","image",true,false,,13.08,177,200
,"static01.nyt.com","image",true,false,,7.04,198,200
,"static01.nyt.com","image",true,false,,28.93,202,200
,"static01.nyt.com","image",true,false,,8.5,206,200
,"static01.nyt.com","image",true,false,,3.24,211,200
,"static01.nyt.com","image",true,false,,63.71,224,200
,"static01.nyt.com","image",true,false,,9.86,234,200
,"static01.nyt.com","image",true,false,,17.63,247,200
,"static01.nyt.com","image",true,false,,24.05,251,200
,"static01.nyt.com","image",true,false,,20.63,254,200
,"static01.nyt.com","image",true,false,,18.22,247,200
,"static01.nyt.com","image",true,false,,5.83,248,200
,"static01.nyt.com","image",true,false,,82.61,245,200
,"static01.nyt.com","image",true,false,,11.99,82,200
,"static01.nyt.com","image",true,false,,12.04,85,200
,"static01.nyt.com","image",true,false,,4.07,86,200
,"static01.nyt.com","image",true,false,,9,86,200
,"static01.nyt.com","image",true,false,,12.91,86,200
,"static01.nyt.com","image",true,false,,8.13,214,200
,"static01.nyt.com","image",true,false,,12.28,217,200
,"static01.nyt.com","image",true,false,,22.79,219,200
,"a.et.nytimes.com","ping",true,false,,0,517,200
,"static01.nyt.com","image",true,false,,17.93,89,200
,"static01.nyt.com","image",true,false,,4.81,90,200
,"static01.nyt.com","image",true,false,,24.4,88,200
,"static01.nyt.com","image",true,false,,7.52,92,200
,"static01.nyt.com","image",true,false,,19.79,97,200
,"dd.nytimes.com","xhr",true,false,,0.23,150,200
,"static01.nyt.com","image",true,false,,14.51,75,200
,"static01.nyt.com","image",true,false,,12.19,71,200
,"static01.nyt.com","image",true,false,,7.07,80,200
,"a.et.nytimes.com","ping",true,false,,0,269,200
,"www.nytimes.com","script",false,false,,1.38,59,200
,"www.nytimes.com","script",false,false,,3.97,60,200
,"bbc.com","document",true,false,,0,375,301
,"a.et.nytimes.com","ping",true,false,,0,235,200
,"www.bbc.com","document",false,false,,78.73,514,200
,"","image",true,false,,0,30,200
,"static.files.bbci.co.uk","image",true,false,,0.49,829,200
,"ichef.bbci.co.uk","image",true,false,,15.07,828,200
,"ichef.bbci.co.uk","image",true,false,,20.92,70,200
,"ichef.bbci.co.uk","image",true,false,,12.37,835,200
,"ichef.bbci.co.uk","image",true,false,,7.49,843,200
,"static.files.bbci.co.uk","stylesheet",true,false,,1.18,357,200
,"static.files.bbci.co.uk","font",true,false,,63.78,178,200
,"static.files.bbci.co.uk","font",true,false,,58.34,204,200
,"static.files.bbci.co.uk","font",true,false,,64.91,212,200
,"static.files.bbci.co.uk","font",true,false,,77.25,264,200
,"ichef.bbci.co.uk","image",true,false,,66.87,322,200
,"ichef.bbci.co.uk","image",true,false,,55.59,358,200
,"ichef.bbci.co.uk","image",true,false,,92.14,370,200
,"static.files.bbci.co.uk","font",true,false,,46.72,413,200
,"static.files.bbci.co.uk","font",true,false,,77.96,417,200
,"static.files.bbci.co.uk","font",true,false,,67.08,420,200
,"static.files.bbci.co.uk","script",true,false,,2.43,871,200
,"static.files.bbci.co.uk","script",true,false,,44.39,874,200
,"static.bbci.co.uk","script",true,false,,8.17,884,200
,"static.files.bbci.co.uk","script",true,false,,37.04,878,200
,"static.files.bbci.co.uk","script",true,false,,8.34,879,200
,"static.files.bbci.co.uk","script",true,false,,2.82,878,200
,"static.files.bbci.co.uk","script",true,false,,177.12,888,200
,"static.files.bbci.co.uk","script",true,false,,8.23,1252,200
,"static.files.bbci.co.uk","script",true,false,,17.54,1257,200
,"static.files.bbci.co.uk","script",true,false,,2.41,1269,200
,"static.files.bbci.co.uk","script",true,false,,79.25,1283,200
,"static.files.bbci.co.uk","script",true,false,,0.48,1283,200
,"static.files.bbci.co.uk","script",true,false,,0.06,1289,200
,"static.files.bbci.co.uk","script",true,false,,44.07,1301,200
,"gn-web-assets.api.bbc.com","script",true,false,,0,1372,200
,"cdn.optimizely.com","script",true,false,,88.78,1469,200
,"emp.bbci.co.uk","script",true,false,,38.96,1477,200
,"cdn.tinypass.com","script",true,false,,0,1482,200
,"www.bbc.com","fetch",false,false,,0.08,224,200
,"static.files.bbci.co.uk","script",true,false,,0.19,576,200
,"static.chartbeat.com","script",true,false,,0,664,200
,"uk-script.dotmetrics.net","script",false,false,,0,875,200
,"a4621041136.cdn.optimizely.com","document",true,false,,0.82,1162,200
,"mybbc-analytics.files.bbci.co.uk","script",true,false,,0,1356,200
,"cdn.privacy-mgmt.com","script",true,false,,0,1580,200
,"mybbc-analytics.files.bbci.co.uk","xhr",true,false,,0,83,200
,"mybbc-analytics.files.bbci.co.uk","xhr",true,false,,0,85,200
,"cdn.privacy-mgmt.com","xhr",false,false,,0,37,200
,"cdn.privacy-mgmt.com","script",true,false,,0,77,200
,"cdn.privacy-mgmt.com","xhr",true,false,,0.32,76,200
,"cdn.privacy-mgmt.com","script",true,false,,0,114,200
,"pagead2.googlesyndication.com","fetch",true,false,,51.46,216,200
,"static.files.bbci.co.uk","manifest",true,false,,0.35,188,200
,"cdn.privacy-mgmt.com","xhr",false,false,,0,188,200
,"uk-script.dotmetrics.net","image",false,false,,0,79,200
,"ping.chartbeat.net","image",false,false,,0.04,1524,200
,"uk-script.dotmetrics.net","script",true,false,,0,77,200
,"logx.optimizely.com","xhr",true,false,,0,1210,204
,"a1.api.bbc.co.uk","xhr",true,false,,0,1182,204
